"regio_tech","TechGroup","regio_inv","TimePeriod","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia"
"AK04","Computer Science","Alaska","2009",57,7.98793417200287,37.9779452776278,1.43963697761638,3.86014363552879,"AK","04",NA,0.0103297002302747,55,0.469135802469136,2.20185715434804,0.0162770041758844,3.4695719427543,0.155404938780797,33.1257895822226,9,62.0220547223722,4.39336379460158,20.8878699026953,34.1121300973047,0.791800337689011,2.12307899954084,2.91487933722985
"AK04","Computer Science","Alaska","2006",22,9.95268655757226,40.2845465684534,0.492760177563246,6.20087605106486,"AK","04",NA,0.0111388428862343,58,0.529471105346592,2.10376784941698,0.0174333806086724,3.29260283188834,0.181887802561958,34.352734403305,8,59.7154534315466,5.77255820339191,23.365037009703,34.634962990297,0.285800902986683,3.59650810961762,3.8823090126043
"AK04","Computer Science","Alaska","2003",13,5.76834024946516,33.0952950591336,0.259361455880895,3.31259796634676,"AK","04",NA,0.00865142959720848,141,0.438103473122928,1.97474572286282,0.0136352135623453,3.11232720095769,0.151889172209992,34.6697028278005,7,66.9047049408664,8.13335975174588,46.6643660333784,94.3356339666216,0.365699652792062,4.67076313254893,5.03646278534099
"AK04","Computer Science","Alaska","2012",40,14.6963501099024,46.4036733379207,2.06978616861248,8.69591829494551,"AK","04",NA,0.0152819397544268,54,0.538550223375126,2.83760717034968,0.0233227888300808,4.33066180604577,0.169999460489026,31.5661294175368,10,53.5963266620793,7.93602905934731,25.0579836024772,28.9420163975228,1.11768453105074,4.69579587927058,5.81348041032132
"AK05","Consumer Goods & Civil Engineering","Alaska","2015",1,NA,NA,NA,NA,"AK","05",4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AK05","Consumer Goods & Civil Engineering","Alaska","2006",2,NA,NA,NA,NA,"AK","05",4.36157452840475e-05,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AK06","Electrical Machinery","Alaska","2003",0,12.2454575546195,38.5212133808163,1.97402654207453,6.70252103354498,"AK","06",NA,0.0118122283881777,173,1.11490608637172,1.05948191803479,0.0209535351644363,1.87939911895416,0.437011064632355,39.1971189299484,7,61.4787866191837,21.1846415694917,66.6416991488122,106.358300851188,3.41506591778894,11.5953613880328,15.0104273058218
"AK06","Electrical Machinery","Alaska","2000",0,12.3874082214919,40.8243312160356,7.14191618173045,1.66357531123645,"AK","06",NA,0.0114641627601035,161,1.13311236009031,1.01174103856653,0.0202855689621868,1.79025220063525,0.448760704754127,39.6042546670624,6,59.1756687839644,19.943727236602,65.7271732578173,95.2728267421827,11.498485052586,2.67835625109069,14.1768413036767
"AK06","Electrical Machinery","Alaska","2015",2,9.47795729341437,40.162129342321,3.5197102620328,3.2689084694599,"AK","06",NA,0.0209287330495091,87,1.26598453187299,1.65315866999936,0.0354916398733791,2.80348132065012,0.45894674088841,36.2521602226381,11,59.837870657679,8.2458228452705,34.9410525278192,52.0589474721808,3.06214792796854,2.84395036843011,5.90609829639865
"AK06","Electrical Machinery","Alaska","1994",0,2.85730477893608,31.9890333764488,1.72327791081693,0.567708162958297,"AK","06",NA,0.00604013099627161,50,0.789210741221117,0.765338163913726,0.0111121909387226,1.4080131400048,0.317685778189357,40.2536054815744,4,68.0109666235512,1.42865238946804,15.9945166882244,34.0054833117756,0.861638955408466,0.283854081479149,1.14549303688761
"AK06","Electrical Machinery","Alaska","1997",0,6.53532281924442,30.0357162176794,1.31717164544105,1.7971984211889,"AK","06",NA,0.00908149560772177,102,1.01738963347264,0.892627102629699,0.015900033428256,1.56282636515418,0.416395106301837,40.9277913399374,5,69.9642837823206,6.66602927562931,30.6364305420329,71.3635694579671,1.34351507834987,1.83314238961268,3.17665746796254
"AK06","Electrical Machinery","Alaska","2012",6,26.0842177919174,45.0243632824717,10.6390265823058,8.89421600541638,"AK","06",NA,0.0170925284520159,80,1.12499399529231,1.51934397192713,0.0288268955411539,2.56240439164866,0.410036536857477,36.4478867063585,10,54.9756367175283,20.8673742335339,36.0194906259774,43.9805093740226,8.51122126584464,7.11537280433311,15.6265940701777
"AK06","Electrical Machinery","Alaska","2009",0,12.6453124146366,32.7351513190313,2.55756177223735,6.8761660762406,"AK","06",NA,0.0141020186326856,98,1.04155257722054,1.35394208041978,0.0248018228637985,2.38123580184344,0.387495215935214,37.20361548807,9,67.2648486809687,12.3924061663438,32.0804482926507,65.9195517073493,2.5064105367926,6.73864275471578,9.24505329150839
"AK06","Electrical Machinery","Alaska","2006",3,11.4412450058082,41.391020725107,2.07348303824947,5.71580865999537,"AK","06",NA,0.0121760251862522,137,1.05529134841716,1.15380697515574,0.0214668165199711,2.03420757236088,0.403327999167663,38.2195873938148,8,58.608979274893,15.6745056579572,56.7056983933966,80.2943016066034,2.84067176240177,7.83065786419365,10.6713296265954
"AK07","Engines, Turbines, Thermal & Environmental Technologies","Alaska","2012",1,NA,NA,NA,NA,"AK","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"AK08","Transport","Alaska","2015",1,NA,NA,NA,NA,"AK","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","2009",30,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","1997",1,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","2012",27,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","2003",12,5.60431976344707,40.336602603527,0.0511850597872994,1.08162350136836,"AK","09",NA,0.00383966248631821,33,0.340971321516069,1.12609543501953,0.0080042263906118,2.34747789198881,0.119116450589485,34.9344484632476,7,59.663397396473,1.84942552193753,13.3110788591639,19.6889211408361,0.0168910697298088,0.356935755451559,0.373826825181368
"AK09","Instruments","Alaska","2006",12,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","2015",22,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AK09","Instruments","Alaska","2000",1,NA,NA,NA,NA,"AK","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"AL01","Audiovisual Technologies","Alabama","2003",0,4.45226446795785,20.4086394522437,0.0680515285648129,1.76757083830389,"AL","01",2.18078726420238e-05,0.218548257434523,76,34.857111975789,0.62698326122463,0.910029381102682,2.61074234071592,24.5523844434877,70.4372308886096,7,79.5913605477563,3.38372099564796,15.5105659837052,60.4894340162948,0.0517191617092578,1.34335383711095,1.39507299882021
"AL01","Audiovisual Technologies","Alabama","1997",0,3.16053440773076,15.9968883112789,0.0345928666813555,2.5394586492497,"AL","01",2.18078726420238e-05,0.164138357498992,47,32.7317096603737,0.501465884923524,0.728940214458028,2.2270153988947,23.4623439096146,71.6807773045201,5,84.0031116887211,1.48545117163346,7.51853750630107,39.4814624936989,0.0162586473402371,1.19354556514736,1.2098042124876
"AL01","Audiovisual Technologies","Alabama","1994",1,NA,NA,NA,NA,"AL","01",2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"AL01","Audiovisual Technologies","Alabama","2000",1,2.54495318474556,18.3622644496701,0.0239774779183976,0.791440096301293,"AL","01",2.18078726420238e-05,0.189470556734247,49,34.2788586251621,0.552732979840722,0.839968640264924,2.45039850786733,24.722940114862,72.1229968162193,6,81.6377355503299,1.24702706052533,8.99750958033837,40.0024904196616,0.0117489641800148,0.387805647187633,0.399554611367648
"AL01","Audiovisual Technologies","Alabama","2012",2,5.79774392895042,18.2259237052252,0.104126329411353,0.856785046344157,"AL","01",2.18078726420238e-05,0.281614684012317,30,29.7736225200557,0.945852940207796,0.995518294537243,3.34362502872015,20.5604766982993,69.0560132024568,10,81.7740762947748,1.73932317868513,5.46777711156756,24.5322228884324,0.0312378988234059,0.257035513903247,0.288273412726653
"AL01","Audiovisual Technologies","Alabama","2006",0,2.5416500730688,24.4510710346586,0.0158323739876726,0.19800103091334,"AL","01",2.18078726420238e-05,0.2334504275348,44,30.4469664216746,0.766744457564782,0.878005650912996,2.88372128360204,21.1336446734593,69.4113311019868,8,75.5489289653414,1.11832603215027,10.7584712552498,33.2415287447502,0.00696624455457595,0.0871204536018695,0.0940866981564454
"AL010","Machines & Mechanical Engineering","Alabama","1980",3,3.60826096088576,27.0986504531417,0.0889682564339485,0.35637499212271,"AL","010",0.00080689128775488,0.0376372967310545,36,15.0268770716242,0.250466524425933,0.197342390031951,1.31326282294942,12.0072304537692,79.9050288129587,1,72.9013495468583,1.29897394591887,9.75551416313101,26.244485836869,0.0320285723162215,0.128294997164176,0.160323569480397
"AL010","Machines & Mechanical Engineering","Alabama","1991",1,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2006",7,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2015",11,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","1994",1,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","1988",2,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2000",2,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2012",12,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2003",8,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"AL010","Machines & Mechanical Engineering","Alabama","2009",4,NA,NA,NA,NA,"AL","010",0.00080689128775488,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"AL011","Medical Technology","Alabama","2006",1,NA,NA,NA,NA,"AL","011",0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"AL011","Medical Technology","Alabama","2009",1,NA,NA,NA,NA,"AL","011",0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"AL011","Medical Technology","Alabama","2000",1,NA,NA,NA,NA,"AL","011",0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"AL011","Medical Technology","Alabama","2012",3,NA,NA,NA,NA,"AL","011",0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"AL011","Medical Technology","Alabama","2015",3,NA,NA,NA,NA,"AL","011",0.000109039363210119,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"AL012","Pharmaceuticals & Biotechnology","Alabama","2015",7,33.7210753582036,65.485321096621,3.8123964370087,12.1071085079024,"AL","012",0.000545196816050594,0.494598682864674,37,27.2704280155642,1.81368140823601,1.61893259199429,5.93658666109058,12.5472718517194,46.0105424255103,11,34.514678903379,12.4767978825353,24.2295688057498,12.7704311942502,1.41058668169322,4.4796301479239,5.89021682961712
"AL012","Pharmaceuticals & Biotechnology","Alabama","2003",19,22.8066231590978,59.033928939692,4.73873059604817,6.95183881298086,"AL","012",0.000545196816050594,0.418282001994975,78,28.1288129893837,1.48702329583848,1.44123237842414,5.12368715653977,13.9168529437394,49.4754362688247,7,40.966071060308,17.7891660640963,46.0464645729597,31.9535354270403,3.69620986491757,5.42243427412507,9.11864413904264
"AL012","Pharmaceuticals & Biotechnology","Alabama","2012",7,31.4981909508704,75.7938546180991,10.7498049747141,13.2380632026976,"AL","012",0.000545196816050594,0.369484214794377,37,20.272277465533,1.82260831533396,1.15526077873064,5.69872221162532,9.22409144929023,45.5010122319659,10,24.2061453819009,11.654330651822,28.0437262086967,8.95627379130332,3.97742784064422,4.8980833849981,8.87551122564233
"AL012","Pharmaceuticals & Biotechnology","Alabama","1980",3,NA,NA,NA,NA,"AL","012",0.000545196816050594,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"AL012","Pharmaceuticals & Biotechnology","Alabama","1991",6,NA,NA,NA,NA,"AL","012",0.000545196816050594,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"AL012","Pharmaceuticals & Biotechnology","Alabama","1988",8,6.81988724058684,16.8188687056924,0.0238553804018693,3.68717553223784,"AL","012",0.000545196816050594,0.102667574078548,30,13.2921170197435,0.772394449477467,0.42182326115894,3.17348440833302,9.24248831184356,69.5336062578686,2,83.1811312943076,2.04596617217605,5.04566061170772,24.9543393882923,0.00715661412056079,1.10615265967135,1.11330927379191
"AL012","Pharmaceuticals & Biotechnology","Alabama","1997",9,24.7222413732886,60.3315881099411,5.77266120771196,8.5395518927362,"AL","012",0.000545196816050594,0.15340579279873,50,13.7135994619782,1.11863988170325,0.579847555893312,4.22826667426722,7.41716711484688,54.0862166451006,5,39.6684118900589,12.3611206866443,30.1657940549705,19.8342059450295,2.88633060385598,4.2697759463681,7.15610655022408
