"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Instruments","Ohio","1980",6.22549769203431,4,"OH","05","OH05",30554,9.67880121684265,186,292.974059662776,3.30363760804739,17.502858523341,5.97420076831629,192.767895148473,65.7969157304767,11.5794257071838
"Instruments","Maine","1995",6.66860287692232,9,"ME","05","ME05",51957,1.2588793684763,32,13.4707210452995,9.34530055401578,1.45050151046759,10.7678089806019,6.17016879505965,45.8042949171802,2.13395292061514
"Instruments","Oregon","1985",10.0308382229965,1,"OR","05","OR05",26595,0.349771184871957,78,38.2283950617284,0.914951266740788,1.51198434305858,3.95513424149022,25.5154513023038,66.7447620050576,7.8240538139373
"Instruments","Ohio","1995",15.3123447284209,54,"OH","05","OH05",51957,35.0748679273817,209,493.028390257962,7.11416799122456,61.2718337532647,12.4276481768537,269.911419053143,54.745613921324,32.0028004823998
"Instruments","Rhode Island","1995",15.6070697622268,10,"RI","05","RI05",51957,0.916200116109041,46,14.0480376615266,6.52190817097706,2.09341103070575,14.9018039468884,6.66887642048596,47.471942923032,7.17925209062434
"Instruments","New Hampshire","1980",8.02160340547558,1,"NH","05","NH05",30554,0.723165812897312,33,26.3013402507566,2.74953978011257,1.08319506831306,4.11840255282012,16.2790618657561,61.8944194879492,2.64712912380694
"Instruments","Delaware","2010",15.8697851345919,70,"DE","05","DE05",67736,27.6496118718446,116,183.892996108949,15.0357068822041,37.7295970558492,20.5171473923324,91.8376212048883,49.9407933679421,18.4089507561266
"Instruments","Tennessee","1990",17.4639861973782,6,"TN","05","TN05",37762,1.44540158575393,30,35.4744439640678,4.07448693830969,1.89770462465743,5.34949787114244,24.3935654935566,68.7637712327919,5.23919585921347
"Instruments","Georgia","2000",19.8714583679528,57,"GA","05","GA05",61681,2.54336527459198,223,90.5658836527838,2.80830393522452,8.52214454517094,9.40988394464695,51.3045825242883,56.6489062492698,44.3133521605347
"Instruments","Michigan","2010",24.4694144212237,153,"MI","05","MI05",67736,72.7604178319337,309,596.111687563049,12.2058364816472,117.463060399248,19.7048745813802,277.325133474681,46.5223445976052,75.6104905615811
"Instruments","Iowa","1980",NA,4,"IA","05","IA05",30554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instruments","Arizona","1980",1.75049539180263,1,"AZ","05","AZ05",30554,1.13580700849321,79,60.378728923476,1.88113766013977,2.30587362503977,3.81901650821804,40.6855392310709,67.383894885624,1.38289135952408
