"","organization","organization_cleaned","eq_firm","name_diff","match"
"312","fujitec","fujitec","fujitec",0,1
"313","fujitsu","fujitsu","fujitsu",0,1
"314","furukawa electric","furukawa electric","furukawa electric",0,1
"315","futaba","futaba","futaba",0,1
"316","gs yuasa","gs yuasa","gs yuasa",0,1
"317","hirose electric","hirose electric","hirose electric",0,1
"318","hisamitsu pharmaceutical","hisamitsu pharmaceutical","hisamitsu pharmaceutical",0,1
"319","hitachi","hitachi","hitachi",0,1
"320","hks","hks","hks",0,1
"321","horiba","horiba","horiba",0,1
"322","hoshino gakki","hoshino gakki","hoshino gakki",0,1
"323","hosiden","hosiden","hosiden",0,1
"324","house foods","house foods","house foods",0,1
"325","howa machinery","howa machinery","howa machinery",0,1
"326","hoya","hoya","hoya",0,1
"327","ibiden","ibiden","ibiden",0,1
"328","icom","icom","icom",0,1
"329","idemitsu kosan","idemitsu kosan","idemitsu kosan",0,1
"330","index","index","index",0,1
"331","inpex","inpex","inpex",0,1
"332","iris ohyama","iris ohyama","iris ohyama",0,1
"333","ishida","ishida","ishida",0,1
"334","isuzu motors","isuzu motors","isuzu motors",0,1
"335","jaleco","jaleco","jaleco",0,1
"336","japan airlines","japan airlines","japan airlines",0,1
"337","japan display","japan display","japan display",0,1
"338","japan tobacco","japan tobacco","japan tobacco",0,1
"339","jeol","jeol","jeol",0,1
"340","jtb","jtb","jtb",0,1
"341","jtekt","jtekt","jtekt",0,1
"342","juki","juki","juki",0,1
"343","jvckenwood","jvckenwood","jvckenwood",0,1
"344","justsystems","justsystems","justsystems",0,1
"345","kagome","kagome","kagome",0,1
"346","kaneka","kaneka","kaneka",0,1
"347","kansai paint","kansai paint","kansai paint",0,1
"348","kao","kao","kao",0,1
"349","kawai musical instruments manufacturing","kawai musical instruments manufacturing","kawai musical instruments manufacturing",0,1
"350","kddi","kddi","kddi",0,1
"351","keihin","keihin","keihin",0,1
"352","keyence","keyence","keyence",0,1
"353","kobe steel","kobe steel","kobe steel",0,1
"354","kodansha","kodansha","kodansha",0,1
"355","koei","koei","koei",0,1
"356","konica minolta","konica minolta","konica minolta",0,1
"357","kosé","kose","kose",0,1
"358","kubota","kubota","kubota",0,1
"359","kuraray","kuraray","kuraray",0,1
"360","kureha","kureha","kureha",0,1
"361","kyocera","kyocera","kyocera",0,1
"362","kyb","kyb","kyb",0,1
"363","mabuchi motor","mabuchi motor","mabuchi motor",0,1
"364","maeda","maeda","maeda",0,1
"365","marui","marui","marui",0,1
"366","mazda","mazda","mazda",0,1
"367","meiji dairies","meiji dairies","meiji dairies",0,1
"368","meiji seika","meiji seika","meiji seika",0,1
"369","mitsuba","mitsuba","mitsuba",0,1
"370","mitsubishi chemical","mitsubishi","mitsubishi",0,1
"371","mitsubishi motors","mitsubishi motors","mitsubishi motors",0,1
"372","mitsubishi electric","mitsubishi electric","mitsubishi electric",0,1
