"","organization","organization_cleaned","eq_firm","name_diff","match"
"1724","cheil indistries","cheil indistries","cheil industries",1,NA
"1725","doosan construction","doosan construction","doosan  construction",1,NA
"1726","fils","fils","fila",1,NA
"1727","gamepark","gamepark","game park",1,NA
"1728","gmb korea","gmb korea","gm korea",1,NA
"1729","hanji","hanji","hanjin",1,NA
"1730","hankook tire","hankook tire","hankook tires",1,NA
"1731","hyundai motor campany","hyundai motor campany","hyundai motor company",1,NA
"1732","hyundai motor companay","hyundai motor companay","hyundai motor company",1,NA
"1733","isv","isv","isu",1,NA
"1734","isc","isc","isu",1,NA
"1735","kocom","kocom","koscom",1,NA
"1736","ls cable system","ls cable system","ls cable  system",1,NA
"1737","mbi","mbi","mbc",1,NA
"1738","mbd","mbd","mbc",1,NA
"1739","samsung c t","samsung c t","samsung ct",1,NA
"1740","samsung electro mechanics","samsung electro mechanics","samsung electromechanics",1,NA
"1741","samsung electr mechanics","samsung electr mechanics","samsung electromechanics",1,NA
"1742","sk c c","sk c c","sk cc",1,NA
"1743","sts","sts","stx",1,NA
"1744","sti","sti","stx",1,NA
"1745","st1","st1","stx",1,NA
"1746","stc","stc","stx",1,NA
"1747","stx offshore shipbuilding","stx offshore shipbuilding","stx offshore  shipbuilding",1,NA
"1748","yts","yts","ytn",1,NA
"1749","adl","adl","adly",1,NA
"1750","asys","asys","asus",1,NA
"1751","chain tech","chain tech","chaintech",1,NA
"1752","edison opto","edison opto","edisonopto",1,NA
"1753","epos","epos","epox",1,NA
"1754","lin li","lin li","lian li",1,NA
"1755","lite on","lite on","liteon",1,NA
"1756","micro","micro","mipro",1,NA
"1757","tsrc","tsrc","tsmc",1,NA
"1758","tslc","tslc","tsmc",1,NA
"1759","via technolgies","via technolgies","via technologies",1,NA
"1760","via technoologies","via technoologies","via technologies",1,NA
"1761","via technololgies","via technololgies","via technologies",1,NA
"1762","via technologyies","via technologyies","via technologies",1,NA
"1763","mail ru","mail ru","mailru",1,NA
"1764","vsmpo avisma","vsmpo avisma","vsmpoavisma",1,NA
