"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"frosta";"frosta";"frosta";0;1;"auto"
"fuchs petrolub";"fuchs petrolub";"fuchs petrolub";0;1;"auto"
"gebrüder thonet";"gebruder thonet";"gebruder thonet";0;1;"auto"
"gpc biotech";"gpc biotech";"gpc biotech";0;1;"auto"
"grundig";"grundig";"grundig";0;1;"auto"
"heidelbergcement";"heidelbergcement";"heidelbergcement";0;1;"auto"
"hochtief";"hochtief";"hochtief";0;1;"auto"
"jenoptik";"jenoptik";"jenoptik";0;1;"auto"
"karcher";"karcher";"karcher";0;1;"auto"
"leica camera";"leica camera";"leica camera";0;1;"auto"
"leoni";"leoni";"leoni";0;1;"auto"
"lindauer dornier";"lindauer dornier";"lindauer dornier";0;1;"auto"
"loewe";"loewe";"loewe";0;1;"auto"
"lufthansa systems";"lufthansa";"lufthansa";0;1;"auto"
"meyer werft";"meyer werft";"meyer werft";0;1;"auto"
"nero";"nero";"nero";0;1;"auto"
"nordzucker";"nordzucker";"nordzucker";0;1;"auto"
"osram";"osram";"osram";0;1;"auto"
"otto bock healthcare";"otto bock";"otto bock";0;1;"auto"
"phoenix contact";"phoenix contact";"phoenix contact";0;1;"auto"
"ptv";"ptv";"ptv";0;1;"auto"
"putzmeister";"putzmeister";"putzmeister";0;1;"auto"
"rehau";"rehau";"rehau";0;1;"auto"
"rimowa";"rimowa";"rimowa";0;1;"auto"
"salzgitter";"salzgitter";"salzgitter";0;1;"auto"
"sap se";"sap se";"sap se";0;1;"auto"
"schmitz cargobull";"schmitz cargobull";"schmitz cargobull";0;1;"auto"
"sew eurodrive";"sew eurodrive";"sew eurodrive";0;1;"auto"
"sgl carbon";"sgl carbon";"sgl carbon";0;1;"auto"
"sig sauer";"sig sauer";"sig sauer";0;1;"auto"
"skysails";"skysails";"skysails";0;1;"auto"
"smart";"smart";"smart";0;1;"auto"
"solarworld";"solarworld";"solarworld";0;1;"auto"
"sortimo";"sortimo";"sortimo";0;1;"auto"
"symrise";"symrise";"symrise";0;1;"auto"
"tchibo";"tchibo";"tchibo";0;1;"auto"
"telefunken";"telefunken";"telefunken";0;1;"auto"
"tetra";"tetra";"tetra";0;1;"auto"
"the linde";"the linde";"the linde";0;1;"auto"
"trumpf";"trumpf";"trumpf";0;1;"auto"
"ultrasone";"ultrasone";"ultrasone";0;1;"auto"
"vector informatik";"vector informatik";"vector informatik";0;1;"auto"
"viessmann";"viessmann";"viessmann";0;1;"auto"
"voith";"voith";"voith";0;1;"auto"
"wago kontakttechnik";"wago kontakttechnik";"wago kontakttechnik";0;1;"auto"
"wera werk hermann werner";"wera werk hermann werner";"wera werk hermann werner";0;1;"auto"
"wittenstein";"wittenstein";"wittenstein";0;1;"auto"
"intralot";"intralot";"intralot";0;1;"auto"
"lavipharm";"lavipharm";"lavipharm";0;1;"auto"
"vianex";"vianex";"vianex";0;1;"auto"
"graphisoft";"graphisoft";"graphisoft";0;1;"auto"
"magyar telekom";"magyar telekom";"magyar telekom";0;1;"auto"
"tungsram";"tungsram";"tungsram";0;1;"auto"
"arvind";"arvind";"arvind";0;1;"auto"
"asian paints";"asian paints";"asian paints";0;1;"auto"
"bajaj auto";"bajaj auto";"bajaj auto";0;1;"auto"
"bharat forge";"bharat forge";"bharat forge";0;1;"auto"
"bharat heavy electricals";"bharat heavy electricals";"bharat heavy electricals";0;1;"auto"
"bharat petroleum";"bharat petroleum";"bharat petroleum";0;1;"auto"
"biocon";"biocon";"biocon";0;1;"auto"
"crompton greaves";"crompton greaves";"crompton greaves";0;1;"auto"
"dabur pharma";"dabur";"dabur";0;1;"auto"
"emcure pharmaceuticals";"emcure";"emcure";0;1;"auto"
"engineers india";"engineers india";"engineers india";0;1;"auto"
"glenmark pharmaceuticals";"glenmark";"glenmark";0;1;"auto"
"hawkins cookers";"hawkins cookers";"hawkins cookers";0;1;"auto"
