"onshored_patents","N_inv_nonwestern_log","N_inv_anglosaxon_log","N_patents_state_log","N_patents_TechGroup_log","imputed_N_inv_nonwestern_log","imputed_N_inv_anglosaxon_log","regio_tech"
0,0.111832953105553,3.50379996004732,6.01615715969835,9.59185425926183,-0.130102249248147,3.05086630484917,"AL01"
7,2.52387075009396,2.54713243566469,5.79909265446053,10.3751772595535,0.481767038247669,2.52950325961371,"AL012"
19,2.87858962391212,3.46428282969517,6.07073772800249,10.4193305681139,0.365498565934289,2.63310054771805,"AL012"
7,2.45567784070744,2.19235426898198,5.90263333340137,10.2485301017451,0.144326100939506,2.22181869719452,"AL012"
8,0.715870133754458,3.21704773045306,4.95582705760126,9.73352925472557,-0.863168865092115,2.22381114721801,"AL012"
9,2.51455611835971,2.987408020144,5.89440283426485,10.4792297509684,-0.54499004465546,2.00379719382686,"AL012"
11,2.70366367001113,3.00528372515946,6.01615715969835,10.2834297034132,0.435591686855374,2.63115835746033,"AL012"
10,2.67146140992797,3.24067977186906,5.95583736946483,10.2350908120458,0.0908522654968344,2.23941923028633,"AL012"
19,2.44563091771858,3.30916039088801,5.92958914338989,10.517456235219,0.0556815020438656,2.4897943438318,"AL012"
1,0.117685035446982,3.27549711517319,5.90263333340137,10.886819920141,0.798020247055736,3.21810313978525,"AL02"
2,1.25691056315703,3.30474951646267,6.01615715969835,10.7497849125897,0.749643024554471,3.25336541967359,"AL02"
0,1.26662249189127,3.50216383617851,6.07073772800249,10.7113018080742,0.603250867039742,3.40844814928917,"AL02"
1,-0.637795171829465,3.16442410625809,5.29831736654804,9.08885047438847,-0.939899537026687,2.41295484349385,"AL02"
5,-0.420892525125743,3.37999923096625,5.89440283426485,10.1517138842178,-0.0590380298525811,3.15799365197998,"AL02"
0,-0.127502234234067,3.38738841657907,5.92958914338989,10.622278113076,0.55669911294201,3.43353394208598,"AL02"
1,1.49045136104513,3.98759784469278,6.15060276844628,9.66656196374813,-0.437875735912759,2.04368929220088,"AR01"
1,1.00083207910195,3.6908884143484,6.24610676548156,9.5085913957772,-0.756978711092178,1.99827706579946,"AR01"
0,0.746615328176565,3.72904803606196,6.50578406012823,9.58884529850156,-0.353329599212597,1.86625094270226,"AR01"
0,1.77081985935679,3.58514072919743,6.53087762772588,9.64723954557388,-0.212132677557912,1.9444774030122,"AR01"
0,0.492195981635314,3.54797133359124,5.39816270151775,8.71948076085107,-1.58863588784128,1.44821077672602,"AR01"
0,0.308267113045546,3.68336606239296,6.37161184723186,9.59185425926183,-0.297353263814842,1.8937466215183,"AR01"
2,1.204215369576,3.74078287740305,6.3578422665081,9.52864863796972,-0.39455281822472,1.82562351152206,"AR01"
0,1.25087228832762,3.69455284704198,5.80513496891649,9.09739561296005,-1.03631510825345,1.82326985073295,"AR01"
0,0.886784495863085,3.72498105590753,6.18414889093748,9.66332499605232,-0.576742779617792,2.05061187887157,"AR01"
3,2.09094184718109,3.69892442161845,6.53087762772588,11.1603563662156,0.622707762710231,2.34871862373924,"AR02"
2,0.431062480313449,3.39446304592396,6.3578422665081,10.7882463367971,0.162536731057053,1.96382332159223,"AR02"
0,0.0359324719735188,3.36216171541931,5.80513496891649,9.46622213187817,-1.12572758830556,1.61330861019076,"AR02"
2,0.923424882512955,3.46663344748475,6.37161184723186,10.7497849125897,0.313551993481272,2.09624573634272,"AR02"
0,2.1894680294583,3.43664965179363,6.50578406012823,10.886819920141,0.352748717918685,2.06098345645438,"AR02"
2,-0.653337324568509,3.88508271775313,6.24610676548156,10.1517138842178,-0.578978307473822,2.00087396864911,"AR02"
0,0.730711001803424,3.36775324323005,6.15060276844628,10.7113018080742,0.1892185474997,2.2513284659583,"AR02"
0,1.22855288295719,3.48330413730421,6.18414889093748,10.622278113076,0.0691519326526134,2.2764142587551,"AR02"
0,0.0235580481128394,3.28451698075148,5.39816270151775,9.08885047438847,-1.69929989321802,1.25583516016298,"AR02"
0,0.987038357684285,3.13546834015661,5.39816270151775,9.18080856937014,-1.00484512092362,1.75504837345498,"AR06"
0,2.05626858673705,4.28598955151759,5.80513496891649,9.35677565020573,-0.336415970402654,2.19900595583361,"AR06"
0,2.76001655923717,4.59293383049687,6.24610676548156,9.59362803513964,0.177927479932193,2.46957776474076,"AR06"
2,3.0089739097936,4.79771746064247,6.3578422665081,9.82984101236783,0.723346894563026,2.39764668320968,"AR06"
1,2.46120114077559,4.45807608439324,6.18414889093748,9.74132150194574,0.481502384898422,2.5444329745894,"AR06"
1,3.65663044900213,4.81017903015179,6.53087762772588,10.0370126951411,0.985986885698616,2.56687735087149,"AR06"
1,3.13287949808409,4.50896457304111,6.15060276844628,9.78408445528835,0.582499206363007,2.51790169476603,"AR06"
